"동물번호","사진종류","사진번호","사진URL"
"1481","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1481","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1481","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1481","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1481&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1301","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
"1301","IMG","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=1&thumbTy=L"
"1301","IMG","2","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=2&thumbTy=L"
"1301","IMG","3","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=3&thumbTy=L"
"1301","IMG","4","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=4&thumbTy=L"
"1301","IMG","5","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=5&thumbTy=L"
"1301","IMG","6","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=6&thumbTy=L"
"1301","IMG","7","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=7&thumbTy=L"
"1301","IMG","8","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1301&fileTy=ADOPTIMG&fileNo=8&thumbTy=L"
"1381","THUMB","1","animal.seoul.go.kr/comm/getImage?srvcId=MEDIA&upperNo=1381&fileTy=ADOPTTHUMB&fileNo=1&thumbTy=L"
